name,id,recclass,mass (g),year,reclat,reclong,GeoLocation
Bawku,4976,LL5,1557,1989,11.08333,-0.18333,"(11.08333, -0.18333)"
Baxter,4977,L6,611,1916,36.75,-93.5,"(36.75, -93.5)"
Beardsley,4984,H5,16000,1929,39.8,-101.2,"(39.8, -101.2)"
Beaver Creek,4986,H5,14000,1893,51.16667,-117.33333,"(51.16667, -117.33333)"
Beddgelert,4993,H5,794,1949,53.01667,-4.1,"(53.01667, -4.1)"
Bells,5005,C2-ung,375,1961,33.6,-96.46667,"(33.6, -96.46667)"
Belville,5009,OC,,1937,-32.33333,-64.86667,"(-32.33333, -64.86667)"
Benares (a),5011,LL4,3700,1798,25.36667,82.91667,"(25.36667, 82.91667)"
Benguerir,30443,LL6,25000,2004,32.25,-8.15,"(32.25, -8.15)"
Beni M'hira,5018,L6,19000,2001,32.86667,10.8,"(32.86667, 10.8)"
Benld,5021,H6,1770.5,1938,39.08333,-89.15,"(39.08333, -89.15)"
Benoni,5023,H6,3880,1943,-26.16667,28.41667,"(-26.16667, 28.41667)"
Bensour,5024,LL6,45000,2002,30,-7,"(30.0, -7.0)"
Benton,5026,LL6,2840,1949,45.95,-67.55,"(45.95, -67.55)"
Berduc,48975,L6,270,2008,-31.91,-58.32833,"(-31.91, -58.32833)"
Béréba,5028,Eucrite-mmict,18000,1924,11.65,-3.65,"(11.65, -3.65)"
Berlanguillas,5029,L6,1440,1811,41.68333,-3.8,"(41.68333, -3.8)"
Berthoud,47355,Eucrite-mmict,960,2004,40.30583,-105.02325,"(40.30583, -105.02325)"
Bethlehem,5032,H,13.9,1859,42.53333,-73.83333,"(42.53333, -73.83333)"
Beuste,5034,L5,2000,1859,43.21667,-0.23333,"(43.21667, -0.23333)"
Beyrout,5035,LL3.8,1100,1921,33.88333,35.5,"(33.88333, 35.5)"
Bhagur,5037,L6,18,1877,20.88333,74.83333,"(20.88333, 74.83333)"
Bhawad,36591,LL6,678,2002,26.50833,73.11528,"(26.50833, 73.11528)"
Bherai,5039,L6,100,1893,20.83333,71.46667,"(20.83333, 71.46667)"
Bhola,5040,LL3-6,1047,1940,22.68333,90.65,"(22.68333, 90.65)"
Bholghati,5041,Howardite,2500,1905,22.08333,86.9,"(22.08333, 86.9)"
Bialystok,5042,Eucrite-pmict,4000,1827,53.1,23.2,"(53.1, 23.2)"
Bielokrynitschie,5043,H4,1900,1887,50.13333,27.16667,"(50.13333, 27.16667)"
Bilanga,5045,Diogenite,25000,1999,12.45,-0.08333,"(12.45, -0.08333)"
Binningup,5051,H5,488.1,1984,-33.15639,115.67639,"(-33.15639, 115.67639)"
Birni N'konni,5056,H4,560,1923,13.76667,5.3,"(13.76667, 5.3)"
Bishopville,5059,Aubrite,6000,1843,34.16667,-80.28333,"(34.16667, -80.28333)"
Bishunpur,5060,LL3.15,1039,1895,25.38333,82.6,"(25.38333, 82.6)"
Bjelaja Zerkov,5063,H6,1850,1796,49.78333,30.16667,"(49.78333, 30.16667)"
Bjurböle,5064,L/LL4,330000,1899,60.4,25.8,"(60.4, 25.8)"
Black Moshannan Park,5065,L5,705,1941,40.91667,-78.08333,"(40.91667, -78.08333)"
Blackwell,5068,L5,2381,1906,36.83333,-97.33333,"(36.83333, -97.33333)"
Blanket,5071,L6,5100,1909,31.83333,-98.83333,"(31.83333, -98.83333)"
Blansko,5072,H6,470,1833,49.36667,16.63333,"(49.36667, 16.63333)"
Bloomington,5076,LL6,67.8,1938,40.48,-89.00417,"(40.48, -89.00417)"
Bo Xian,5090,LL3.9,7500,1977,33.83333,115.83333,"(33.83333, 115.83333)"
Bocas,5093,L6,56,1804,23,-102,"(23.0, -102.0)"
Bogou,5097,"Iron, IAB-MG",8800,1962,12.5,0.7,"(12.5, 0.7)"
Boguslavka,5098,"Iron, IIAB",256000,1916,44.55,131.63333,"(44.55, 131.63333)"
Borgo San Donino,5110,LL6,1676,1808,44.86667,10.05,"(44.86667, 10.05)"
Bori,5111,L6,8600,1894,21.95,78.03333,"(21.95, 78.03333)"
Boriskino,5112,CM2,1342,1930,54.23333,52.48333,"(54.23333, 52.48333)"
Borkut,5113,L5,7000,1852,48.15,24.28333,"(48.15, 24.28333)"
Borodino,5114,H5,500,1812,55.46667,35.86667,"(55.46667, 35.86667)"
Botschetschki,5117,L4,614,1823,51.33333,33.88333,"(51.33333, 33.88333)"
